관광지명,주소
동피랑 마을길,경상남도 통영시 동호동 동피랑로
동피랑 벽화 골목,경상남도 통영시 동호동 동피랑로
디피랑,경상남도 통영시 남망공원길 29 (동호동)
서피랑공원,경상남도 통영시 충렬로 22 (서호동)
김춘수 유품전시관,경상남도 통영시 해평5길 142-16 (봉평동)
남망산 조각공원,경상남도 통영시 남망공원길 29 (동호동)
박경리 기념관,경상남도 통영시 산양읍 산양중앙로 173
전혁림 미술관,경상남도 통영시 봉수1길 10 (봉평동)
청마문학관,경상남도 통영시 망일1길 82 (정량동)
통영전통공예품전시판매장 ,경상남도 통영시 서문로 33 (문화동)
통영수산과학관,경상남도 통영시 산양읍 척포길 628-111
통영시립박물관,경상남도 통영시 중앙로 61
통영옻칠박물관,경상남도 통영시 용남면 용남해안로 36
통영전통공예관,경상남도 통영시 도남로 281 (도남동)
해병대 통영상륙작전 기념관,경상남도 통영시 현충길 83 (무전동)
윤이상 공원,경상남도 통영시 중앙로 27 (도천동)
원문생활공원,경상남도 통영시 무전동
강구안 문화마당,경상남도 통영시 통영해안로 352 (동호동)
사량대교,경남 통영시 사량면 금평리
충무교,경상남도 통영시 도남로 19 (당동)
통영대교,경상남도 통영시 미수해안로 45 (미수동)
통영운하조망공원,경상남도 통영시 당동
해저터널 통영,경상남도 통영시 도천1길 1 (당동)
한산대첩 광장,경상남도 통영시 항남동
이순신공원,경상남도 통영시 멘데해안길 205 (정량동)
미수해양공원,경상남도 통영시 미수동
장사도선착장,경상남도 통영시 한산면 장사도길 55
통영RCE세자트라숲,경상남도 통영시 용남면 용남해안로 116
통영해양관광공원,경상남도 통영시 미수해안로 45 (미수동)
통영달아공원,경상남도 통영시 산양읍 산양일주로 1115
통영 케이블카 탑승장,경남 통영시 발개로 205
미륵산 케이블카 주차장,경남 통영시 발개로 205
한려해상국립공원 한산도지구,경상남도 통영시 한산면 염호리
연대도-만지도 출렁다리,경상남도 통영시 산양읍 저림리
연화도 출렁다리,경상남도 통영시 욕지면 연화리
육지도비렁길,경상남도 통영시 욕지면
비진도,경남 통영시 한산면 비진리
비진도해수욕장,경상남도 통영시 한산면 외항길 24
소매물도,경상남도 통영시 한산면 매죽리 소매물도
사량도 옥녀봉,경상남도 통영시 사량면 금평리
제승당,경상남도 통영시 한산면 염호리
미륵산 봉수대,경상남도 통영시 산양읍 남평리
삼여전망대,경상남도 통영시 욕지면 서산리
무더위쉼터 신봉숲,경상남도 통영시 산양읍 신전리
음악분수휴게광장,경상남도 통영시 도남동 650
연화도 출렁다리 (선착장),경상남도 통영시 욕지면 본촌길 (욕지면)
통영중앙시장,경남 통영시 중앙로 160
통영 중앙시장,경남 통영시 중앙로 160
통영항 여객선터미널,경남 통영시 통영해안로 234
